Ранг популярности,Группа популярности,Название,Стоимость,Подразделение,Категория услуги
1,Приём: терапевт,Терапевт первичный прием,3590,Терапия,Приемы специалистов
2,Приём: терапевт,Ведущий терапевт (Романова А.А. ) первичный прием,4840,Терапия,Приемы специалистов
3,Приём: терапевт,Терапевт повторный прием,2810,Терапия,Приемы специалистов
4,Приём: терапевт,Ведущий терапевт (Романова А.А. ) повторный прием,3850,Терапия,Приемы специалистов
5,Приём: терапевт,Онлайн консультация терапевта,3590,Терапия,Приемы специалистов
6,Приём: терапевт,Онлайн консультация ведущего терапевта (Романова А.А. ),4840,Терапия,Приемы специалистов
7,Приём: стоматолог,Стоматолог первичный прием,4070,Стоматология,Приемы специалистов
8,Приём: стоматолог,Стоматолог повторный прием,3190,Стоматология,Приемы специалистов
9,Профилактика: вакцинация (с бешенством),Вакцинация кошек с бешенством CPR+Rabies,3470,Терапия,Вакцинация
10,Профилактика: вакцинация (с бешенством),Вакцинация от бешенства (Российская),1790,Терапия,Вакцинация
11,Профилактика: вакцинация (с бешенством),"Вакцинация (собаки, хорьки) с бешенством DHPPI+LR",3470,Терапия,Вакцинация
12,Профилактика: вакцинация (с бешенством),Вакцинация от лептоспироза и бешенства LR,3470,Терапия,Вакцинация
13,Профилактика: чипирование,Чипирование (без учета стоимости чипа),2810,Терапия,Терапевтические манипуляции
14,Профилактика: документы,Международный ветеринарный паспорт животного 1шт.,280,Аптека и склад,Расходные материалы
15,Профилактика: диспансеризация/чекап,Диспансеризация  анализы (Биохимия стандарт+ Общий анализ крови A + Общий анализ мочи  + Комплексное паразитологическое исследование фекалий),6970,Лаборатория,Лаборатория. Комплексное исследование
16,Профилактика: диспансеризация/чекап,"Диспансеризация: прием терапевта + ОКА крови (молодые животные до 5 лет, при отсутствии жалоб)",4840,Терапия,Комплексное исследование
17,Профилактика: диспансеризация/чекап,"Диспансеризация: прием терапевта, ОКА + БХ стандартная крови, УЗИ БП или рентген 1 проекция (возрастные животные от 5 лет, при отсутствии жалоб)",10500,Терапия,Комплексное исследование
18,Диагностика: УЗИ (брюшная полость),AFAST/TFAST экстренное УЗИ брюшной/грудной полости,2810,Визуальная диагностика,Диагностика
19,Диагностика: УЗИ (брюшная полость),Детализированное УЗИ органов брюшной полости (первичный осмотр),5280,Визуальная диагностика,Диагностика
20,Диагностика: УЗИ (брюшная полость),Комплексное детализированное УЗИ брюшной и грудной полости,6160,Визуальная диагностика,Диагностика
21,Диагностика: УЗИ (брюшная полость),Детализированное УЗИ органов брюшной полости (повторный осмотр),4400,Визуальная диагностика,Диагностика
22,Диагностика: рентген (1–3 проекции),Рентген (1 проекция),2640,Визуальная диагностика,Диагностика
23,Диагностика: рентген (1–3 проекции),Рентген (2 проекции),4400,Визуальная диагностика,Диагностика
24,Диагностика: рентген (1–3 проекции),Рентген (3 проекции),6380,Визуальная диагностика,Диагностика
25,Стоматология: чистка/полировка,Механическая чистка зубов,1160,Стоматология,Стоматология
26,Стоматология: чистка/полировка,Полировка,2890,Стоматология,Хирургия в стоматологии
27,Плановая хирургия: кастрация/стерилизация,Кастрация кота (анестезия включена),7570,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
28,Плановая хирургия: кастрация/стерилизация,"Кастрация кота (анестезия не включена, только для случаев одновременного проведения двух операций)",5200,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
29,Плановая хирургия: кастрация/стерилизация,Кастрация кобеля (анестезия включена),15250,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
30,Плановая хирургия: кастрация/стерилизация,"Кастрация кобеля (анестезия не включена, только для случаев одновременного проведения двух операций)",9260,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
31,Плановая хирургия: кастрация/стерилизация,Кастрация кошки (анестезия включена),14520,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
32,Плановая хирургия: кастрация/стерилизация,"Кастрация кошки (анестезия не включена, только для случаев одновременного проведения двух операций)",9920,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
33,Плановая хирургия: кастрация/стерилизация,Кастрация суки (анестезия включена),24200,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
34,Плановая хирургия: кастрация/стерилизация,"Кастрация суки (анестезия не включена, только для случаев одновременного проведения двух операций)",16940,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
35,Плановая хирургия: кастрация/стерилизация,Марсупиализация кист предстательной железы с одномоментной кастрацией (без учета анестезии),30490,Хирургия,Общая хирургия
36,Плановая хирургия: кастрация/стерилизация,Марсупиализация кист предстательной железы с одномоментной кастрацией (собаки 10 - 25 кг),30490,Хирургия,Общая хирургия
37,Плановая хирургия: кастрация/стерилизация,Удаление полового члена,20330,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
38,Плановая хирургия: кастрация/стерилизация,Химическая кастрация (Супрелорин) (1 имплант),16500,Аптека и склад,Препараты
39,Плановая хирургия: кастрация/стерилизация,Химическая кастрация (Супрелорин) (2 импланта),33500,Аптека и склад,Препараты
40,Плановая хирургия: кастрация/стерилизация,"Химическая кастрация (установка супрелорина), анестезия включена",1620,Терапия,Терапевтические манипуляции
41,Стоматология: санация,"Анестезия для полной санации ротовой полости,  3 категория",15400,Стоматология,Анестезиология
42,Стоматология: санация,"Анестезия для полной санации ротовой полости, 2 категория",11550,Стоматология,Анестезиология
43,Стоматология: санация,"Анестезия для полной санации ротовой полости,1 категория",7700,Стоматология,Анестезиология
44,Стоматология: санация,Санация ротовой полости  2 категории (поражение более 50%),8090,Стоматология,Хирургия в стоматологии
45,Стоматология: санация,Санация ротовой полости 1 категории (поражение до 50%),5780,Стоматология,Хирургия в стоматологии
46,Стоматология: санация,"Санация ротовой полости под контролем дентального рентгена, удаление зубов по показаниям",1,Стоматология,Хирургия в стоматологии
47,Лаборатория: базовая,"Комплекс ОКА + БХ: Базовый (АЛТ, АСТ, белок общий, билирубин общий, глюкоза, креатинин, мочевина) + общий клинический анализ крови",4840,Лаборатория,Лаборатория. Комплексное исследование
48,Лаборатория: базовая,"КОМПЛЕКС ОКА + БХ: СТАНДАРТ (креатинин, мочевина, K, Na, Cl, фосфор, общий белок, альбумин, глобулин, общий билирубин, глюкоза, АСТ, АЛТ, ГГТ, ЩФ) + общий клинический анализ крови",5500,Лаборатория,Лаборатория. Биохимические анализы
49,Лаборатория: базовая,Общий клинический анализ крови (автоматический подсчет клеток+микроскопия мазка),2290,Лаборатория,Лаборатория. Гематологические исследования
50,Лаборатория: базовая,"Биохимический анализ СТАНДАРТНЫЙ РАСШИРЕННЫЙ (АЛТ, альбумин, АСТ, белок общий, билирубин общий, ГГТ, глюкоза,  калий, кальций, креатинин, мочевина, натрий, фосфор, ЩФ, хлор)",6050,Лаборатория,Лаборатория. Биохимические анализы
51,Лаборатория: базовая,"Биохимия крови БАЗОВЫЙ профиль (АЛТ, АСТ, белок общий, билирубин общий, глюкоза, креатинин, мочевина)",2890,Лаборатория,Лаборатория. Биохимические анализы
52,Лаборатория: базовая,"Биохимия крови СТАНДАРТНЫЙ профиль (креатинин, мочевина, K, Na, Cl, фосфор, общий белок, альбумин, глобулин, общий билирубин, глюкоза, АСТ, АЛТ, ГГТ, ЩФ)",4160,Лаборатория,Лаборатория. Биохимические анализы
53,Лаборатория: базовая,"Биохимия стандартный профиль для рептилий (общий белок, АСТ, АЛТ, ЩФ, мочевая кислота, кальций, магний, фосфор)",3360,Лаборатория,Лаборатория. Биохимические анализы
54,Лаборатория: базовая,Общий анализ мочи (с микроскопией осадка) (Исследования мочеполовой системы),1270,Лаборатория,Лаборатория. Мочеполовая система
55,Лаборатория: базовая,Общий клинический анализ кала (копрограмма),2290,Лаборатория,Лаборатория. Прочие исследования
56,Процедуры,Инъекции (внутривенно через катетер),770,Терапия,Терапевтические манипуляции
57,Процедуры,Инъекция (внутривенно/внутрисуставно),1270,Терапия,Терапевтические манипуляции
58,Процедуры,"Инъекция (подкожно, внутримышечно)",360,Терапия,Терапевтические манипуляции
59,Процедуры,Инфузионная терапия 1 категория (до 2-х часов ) с инфузоматом,4620,Терапия,Терапевтические манипуляции
