Название,Стоимость,Подразделение,Категория услуги
Т3 Трийодтиронин,1960,Лаборатория,Лаборатория. Гормональные исследования
17-ОН-прогестерон,1960,Лаборатория,Лаборатория. Гормональные исследования
AFAST/TFAST экстренное УЗИ брюшной/грудной полости,2810,Визуальная диагностика,Диагностика
Asa 1 категория / анестезиологическое пособие (Экзоты),4220,Анестезиология,Ветеринария грызунов и экзотических животных
Asa 2 категория / анестезиологическое пособие (Экзоты),6160,Анестезиология,Ветеринария грызунов и экзотических животных
Asa 3 категория / анестезиологическое пособие (Экзоты),7920,Анестезиология,Ветеринария грызунов и экзотических животных
D-димер собак (исследование гемостаза),2170,Лаборатория,Лаборатория. Исследования гемостаза
"Бруцеллез MRSAT (реакция агглютинации, диагностика Brucella canis)",7480,Лаборатория,Лаборатория. Серологические исследования
NTproBNP собак,3000,Лаборатория,Лаборатория. Биохимические анализы
Орозим гель 70 г,2310,Аптека и склад,Уход и гигиена
V-образная пластика наружного слухового прохода по Хинцу (кошки и собаки до 10 кг),22870,Хирургия,Общая хирургия
V-образная пластика наружного слухового прохода по Хинцу (собаки 10 - 25 кг),22870,Хирургия,Общая хирургия
Генетика Абиссинская кошка / Бенгальская кошка /Сомали Группа крови кошек Дефицит пируваткиназы Прогрессирующая атрофия сетчатки rdAc,4460,Лаборатория,Лаборатория. Генетические исследования
"Адреналин 0,1% 1 мл/1 амп. (введение на приёме/в стационаре)",120,Аптека и склад,Препараты
АКТГ (аденокортикотропный гормон),2260,Лаборатория,Лаборатория. Гормональные исследования
Ализин 10 мл (введение на приёме/в стационаре),9570,Аптека и склад,Препараты
Ализин/1 мл (введение на приёме/в стационаре),1180,Аптека и склад,Препараты
Алмагель 170 мл (введение на приёме/в стационаре),610,Аптека и склад,Препараты
Алмагель 5 мл (введение на приёме/в стационаре),40,Аптека и склад,Препараты
АЛТ(аланинаминотрансфераза),690,Лаборатория,Лаборатория. Биохимические анализы
Альбумин,690,Лаборатория,Лаборатория. Биохимические анализы
Альбумин 10% 100 мл (введение на приёме/в стационаре),6930,Аптека и склад,Препараты
Альдостерон,2260,Лаборатория,Лаборатория. Гормональные исследования
Альфа-амилаза,690,Лаборатория,Лаборатория. Биохимические анализы
Аминокапроновая к-та р-р д/ин. 5% фл. 100 мл (введение на приёме/в стационаре),310,Аптека и склад,Препараты
Аммиак крови,920,Лаборатория,Лаборатория. Биохимические анализы
Амоксициллин + клавулановая кислота 1000 мг + 200 мг (введение на приёме/в стационаре),460,Аптека и склад,Препараты
Ампутация (экзартикуляция) пальцев (до 10 кг),11440,Хирургия,Общая хирургия
Ампутация (экзартикуляция) пальцев (собаки 10 - 25 кг),11440,Хирургия,Общая хирургия
Ампутация (экзартикуляция) пальцев (собаки более 25 кг),11440,Хирургия,Общая хирургия
Ампутация грудной/тазовой конечности (собаки 10 - 25 кг),22870,Хирургия,Травматология и ортопедия
Ампутация грудной/тазовой конечности (собаки более 25 кг),22870,Хирургия,Травматология и ортопедия
Ампутация грудной/тазовой конечности (1-3 кг),22870,Хирургия,Травматология и ортопедия
Ампутация грудной/тазовой конечности (3-10 кг),22870,Хирургия,Травматология и ортопедия
Ампутация грудной/тазовой конечности (до 1 кг),20790,Хирургия,Травматология и ортопедия
Ампутация хвоста,12710,Хирургия,Общая хирургия
Анализ крови на витамины В9 и В12 (ИФА),5080,Лаборатория,Лаборатория. Биохимические анализы
Анальгин 500 мг 2 мл/1 амп. (введение на приёме/в стационаре),120,Аптека и склад,Препараты
Андростендион,2260,Лаборатория,Лаборатория. Гормональные исследования
Андростендион (хорьки),2260,Лаборатория,Лаборатория. Гормональные исследования
Антимюллеров гормон (АМГ),2260,Лаборатория,Лаборатория. Гормональные исследования
Антитела класса IgG к коронавирусной инфекции кошек (тИФА),4400,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
Аппликация офтальмологических препаратов в течение дня в условиях стационара,3360,ОАРИТ,Офтальмологические манипуляции
Артродез всего запястья (до 10 кг),25410,Хирургия,Травматология и ортопедия
Артродез всего запястья (собаки 10 - 25 кг),25410,Хирургия,Травматология и ортопедия
Артродез всего запястья (собаки более 25 кг),25410,Хирургия,Травматология и ортопедия
Артродез коленного сустава (до 10 кг),48280,Хирургия,Травматология и ортопедия
Артродез коленного сустава (собаки 10 - 25 кг),48280,Хирургия,Травматология и ортопедия
Артродез коленного сустава (собаки более 25 кг),48280,Хирургия,Травматология и ортопедия
Артродез локтевого сустава (до 10 кг),35570,Хирургия,Травматология и ортопедия
Артродез локтевого сустава (собаки 10 - 25 кг),35570,Хирургия,Травматология и ортопедия
Артродез локтевого сустава (собаки более 25 кг),35570,Хирургия,Травматология и ортопедия
Артродез межфалангового сустава (до 10 кг),25410,Хирургия,Травматология и ортопедия
Артродез межфалангового сустава (собаки 10 - 25 кг),25410,Хирургия,Травматология и ортопедия
Артродез межфалангового сустава (собаки более 25 кг),25410,Хирургия,Травматология и ортопедия
Артродез пластиной скакательного сустава (до 10 кг),48280,Хирургия,Травматология и ортопедия
Артродез пластиной скакательного сустава (собаки 10 - 25 кг),48280,Хирургия,Травматология и ортопедия
Артродез плече-лопаточного сустава (до 10 кг),48280,Хирургия,Травматология и ортопедия
Артродез плече-лопаточного сустава (собаки 10 - 25 кг),48280,Хирургия,Травматология и ортопедия
Артродез плече-лопаточного сустава (собаки более 25 кг),48280,Хирургия,Травматология и ортопедия
Артроцентез,3050,Хирургия,Травматология и ортопедия
Аскорбиновая кислота 5% 2 мл/1 амп. (введение на приёме/в стационаре),120,Аптека и склад,Препараты
"Аспергиллус антитела класса IgG к Aspergillus spp.  (тИФА, для собак и кошек)",3800,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
Аспирация серомы/гематомы,1530,Хирургия,Общая хирургия
АСТ (аспартатаминотрансфераза),690,Лаборатория,Лаборатория. Биохимические анализы
"Атропина сульфат 0,1% 1 мл/1 амп. (введение на приёме/в стационаре)",120,Аптека и склад,Препараты
Бабл тест (кардиология),1270,Кардиология,Диагностика
Баралгин М 500 мг 5 мл/1 амп. (введение на приёме/в стационаре),200,Аптека и склад,Препараты
Белок в моче,690,Лаборатория,Лаборатория. Мочеполовая система
Билирубин общий,690,Лаборатория,Лаборатория. Биохимические анализы
Билирубин прямой,690,Лаборатория,Лаборатория. Биохимические анализы
"Бинт самофиксирующийся 2,5 см",180,Аптека и склад,Препараты
